2024-12-27 16:18:25 - Model: SimpleCNN_1227_UE
2024-12-27 16:18:25 - Learning rate: 0.01
2024-12-27 16:18:25 - Number of epochs: 64
2024-12-27 16:18:25 - Train batch size: 64
2024-12-27 16:18:25 - Test batch size: 64
2024-12-27 16:18:25 - Federated learning epochs: 100
2024-12-27 16:18:25 - Number of clients: 5
2024-12-27 16:19:24 - Before train, fl0Client2 gNB_test Accuracy  27.52 %
2024-12-27 16:19:26 - Before train, fl0Client2 client_test Accuracy  28.599999999999998 %
2024-12-27 16:19:33 - running Epoch:0, round:31,avg_loss is 0.6982876434922218
2024-12-27 16:19:38 - running Epoch:1, round:31,avg_loss is 0.6985223777592182
2024-12-27 16:19:43 - running Epoch:2, round:31,avg_loss is 0.6983363162726164
2024-12-27 16:19:47 - running Epoch:3, round:31,avg_loss is 0.698247104883194
2024-12-27 16:19:52 - running Epoch:4, round:31,avg_loss is 0.6982868257910013
2024-12-27 16:19:57 - running Epoch:5, round:31,avg_loss is 0.6981580313295126
2024-12-27 16:20:02 - running Epoch:6, round:31,avg_loss is 0.6982291433960199
2024-12-27 16:20:07 - running Epoch:7, round:31,avg_loss is 0.6985115148127079
2024-12-27 16:20:12 - running Epoch:8, round:31,avg_loss is 0.6984465904533863
2024-12-27 16:20:17 - running Epoch:9, round:31,avg_loss is 0.6985048949718475
2024-12-27 16:20:22 - running Epoch:10, round:31,avg_loss is 0.6983929313719273
2024-12-27 16:20:27 - running Epoch:11, round:31,avg_loss is 0.6983661726117134
2024-12-27 16:20:31 - running Epoch:12, round:31,avg_loss is 0.6981575768440962
2024-12-27 16:20:36 - running Epoch:13, round:31,avg_loss is 0.6984677109867334
2024-12-27 16:20:40 - running Epoch:14, round:31,avg_loss is 0.6985701974481344
2024-12-27 16:20:46 - running Epoch:15, round:31,avg_loss is 0.698357867076993
2024-12-27 16:20:50 - running Epoch:16, round:31,avg_loss is 0.6980947963893414
2024-12-27 16:20:55 - running Epoch:17, round:31,avg_loss is 0.6982740741223097
2024-12-27 16:21:01 - running Epoch:18, round:31,avg_loss is 0.6983960308134556
2024-12-27 16:21:06 - running Epoch:19, round:31,avg_loss is 0.6983000990003347
2024-12-27 16:21:11 - running Epoch:20, round:31,avg_loss is 0.6983247809112072
2024-12-27 16:21:16 - running Epoch:21, round:31,avg_loss is 0.6983270719647408
2024-12-27 16:21:21 - running Epoch:22, round:31,avg_loss is 0.698428250849247
2024-12-27 16:21:25 - running Epoch:23, round:31,avg_loss is 0.6983124017715454
2024-12-27 16:21:29 - running Epoch:24, round:31,avg_loss is 0.6981736421585083
2024-12-27 16:21:34 - running Epoch:25, round:31,avg_loss is 0.6983645241707563
2024-12-27 16:21:38 - running Epoch:26, round:31,avg_loss is 0.6982945986092091
2024-12-27 16:21:43 - running Epoch:27, round:31,avg_loss is 0.698200348764658
2024-12-27 16:21:48 - running Epoch:28, round:31,avg_loss is 0.6984627451747656
2024-12-27 16:21:52 - running Epoch:29, round:31,avg_loss is 0.6984873339533806
2024-12-27 16:21:57 - running Epoch:30, round:31,avg_loss is 0.6984302252531052
2024-12-27 16:22:02 - running Epoch:31, round:31,avg_loss is 0.6983351353555918
2024-12-27 16:22:08 - running Epoch:32, round:31,avg_loss is 0.6987077780067921
2024-12-27 16:22:12 - running Epoch:33, round:31,avg_loss is 0.698372270911932
2024-12-27 16:22:17 - running Epoch:34, round:31,avg_loss is 0.6981680989265442
2024-12-27 16:22:22 - running Epoch:35, round:31,avg_loss is 0.6984164100140333
2024-12-27 16:22:26 - running Epoch:36, round:31,avg_loss is 0.6984146609902382
2024-12-27 16:22:31 - running Epoch:37, round:31,avg_loss is 0.698374142870307
2024-12-27 16:22:36 - running Epoch:38, round:31,avg_loss is 0.6982681527733803
2024-12-27 16:22:41 - running Epoch:39, round:31,avg_loss is 0.6983050350099802
2024-12-27 16:22:46 - running Epoch:40, round:31,avg_loss is 0.6984897069633007
2024-12-27 16:22:50 - running Epoch:41, round:31,avg_loss is 0.6983851790428162
2024-12-27 16:22:55 - running Epoch:42, round:31,avg_loss is 0.6984694842249155
2024-12-27 16:23:00 - running Epoch:43, round:31,avg_loss is 0.6983884535729885
2024-12-27 16:23:05 - running Epoch:44, round:31,avg_loss is 0.6984033696353436
2024-12-27 16:23:09 - running Epoch:45, round:31,avg_loss is 0.6982576884329319
2024-12-27 16:23:14 - running Epoch:46, round:31,avg_loss is 0.6983818784356117
2024-12-27 16:23:19 - running Epoch:47, round:31,avg_loss is 0.6984560247510672
2024-12-27 16:23:24 - running Epoch:48, round:31,avg_loss is 0.6984455157071352
2024-12-27 16:23:29 - running Epoch:49, round:31,avg_loss is 0.6984684932976961
2024-12-27 16:23:34 - running Epoch:50, round:31,avg_loss is 0.6984858699142933
2024-12-27 16:23:38 - running Epoch:51, round:31,avg_loss is 0.698647990822792
2024-12-27 16:23:43 - running Epoch:52, round:31,avg_loss is 0.6983168739825487
2024-12-27 16:23:48 - running Epoch:53, round:31,avg_loss is 0.6984582357108593
2024-12-27 16:23:52 - running Epoch:54, round:31,avg_loss is 0.6985282562673092
2024-12-27 16:23:56 - running Epoch:55, round:31,avg_loss is 0.6982655897736549
2024-12-27 16:24:01 - running Epoch:56, round:31,avg_loss is 0.6982158329337835
2024-12-27 16:24:06 - running Epoch:57, round:31,avg_loss is 0.6984130833297968
2024-12-27 16:24:11 - running Epoch:58, round:31,avg_loss is 0.6982141770422459
2024-12-27 16:24:16 - running Epoch:59, round:31,avg_loss is 0.6986541319638491
2024-12-27 16:24:20 - running Epoch:60, round:31,avg_loss is 0.6983742080628872
2024-12-27 16:24:25 - running Epoch:61, round:31,avg_loss is 0.6982623096555471
2024-12-27 16:24:30 - running Epoch:62, round:31,avg_loss is 0.6984979901462793
2024-12-27 16:24:35 - running Epoch:63, round:31,avg_loss is 0.6984375901520252
2024-12-27 16:24:37 - fl0Client2 Test Accuracy  29.599999999999998 %
