2024-12-30 12:31:08 - Model: SimpleCNN_1230_UE
2024-12-30 12:31:08 - Learning rate: 0.001
2024-12-30 12:31:08 - Number of epochs: 64
2024-12-30 12:31:08 - Train batch size: 64
2024-12-30 12:31:08 - Test batch size: 64
2024-12-30 12:31:08 - Federated learning epochs: 100
2024-12-30 12:31:08 - Number of clients: 10
2024-12-30 12:31:13 - Before train, fl0Client4 gNB_test Accuracy  12.34 %
2024-12-30 12:31:13 - Before train, fl0Client4 client_test Accuracy  13.4 %
2024-12-30 12:32:26 - running Epoch:0, round:78,avg_loss is 2.020708778236486
2024-12-30 12:32:27 - running Epoch:1, round:78,avg_loss is 1.6900530027437815
2024-12-30 12:32:29 - running Epoch:2, round:78,avg_loss is 1.580473685566383
2024-12-30 12:32:30 - running Epoch:3, round:78,avg_loss is 1.404779324048682
2024-12-30 12:32:31 - running Epoch:4, round:78,avg_loss is 1.3381752334063566
2024-12-30 12:32:32 - running Epoch:5, round:78,avg_loss is 1.2211650262905072
2024-12-30 12:32:33 - running Epoch:6, round:78,avg_loss is 1.1090609212464924
2024-12-30 12:32:34 - running Epoch:7, round:78,avg_loss is 0.9750994496707674
2024-12-30 12:32:35 - running Epoch:8, round:78,avg_loss is 0.8289332736896563
2024-12-30 12:32:36 - running Epoch:9, round:78,avg_loss is 0.6769363540637342
2024-12-30 12:32:37 - running Epoch:10, round:78,avg_loss is 0.5488697805359394
2024-12-30 12:32:38 - running Epoch:11, round:78,avg_loss is 0.4530865489682065
2024-12-30 12:32:39 - running Epoch:12, round:78,avg_loss is 0.31399784416337556
2024-12-30 12:32:40 - running Epoch:13, round:78,avg_loss is 0.21433736940350714
2024-12-30 12:32:41 - running Epoch:14, round:78,avg_loss is 0.14077922909320156
2024-12-30 12:32:42 - running Epoch:15, round:78,avg_loss is 0.11562343777593555
2024-12-30 12:32:43 - running Epoch:16, round:78,avg_loss is 0.025228786983680498
2024-12-30 12:32:45 - running Epoch:17, round:78,avg_loss is 0.03116790623156519
2024-12-30 12:32:46 - running Epoch:18, round:78,avg_loss is 0.02219242856047953
2024-12-30 12:32:47 - running Epoch:19, round:78,avg_loss is 0.033515193493730285
2024-12-30 12:32:48 - running Epoch:20, round:78,avg_loss is 0.019290284527748634
2024-12-30 12:32:49 - running Epoch:21, round:78,avg_loss is 0.009898326356742012
2024-12-30 12:32:50 - running Epoch:22, round:78,avg_loss is 0.0026264386303145202
2024-12-30 12:32:51 - running Epoch:23, round:78,avg_loss is 0.0013355750817499016
2024-12-30 12:32:52 - running Epoch:24, round:78,avg_loss is 0.0009531160364151472
2024-12-30 12:32:53 - running Epoch:25, round:78,avg_loss is 0.0007851871494586945
2024-12-30 12:32:54 - running Epoch:26, round:78,avg_loss is 0.0006621145795075859
2024-12-30 12:32:55 - running Epoch:27, round:78,avg_loss is 0.0005998351074065542
2024-12-30 12:32:56 - running Epoch:28, round:78,avg_loss is 0.000513966881619955
2024-12-30 12:32:58 - running Epoch:29, round:78,avg_loss is 0.0004579450535776589
2024-12-30 12:32:59 - running Epoch:30, round:78,avg_loss is 0.00040447443510097
2024-12-30 12:33:00 - running Epoch:31, round:78,avg_loss is 0.0003691965533947997
2024-12-30 12:33:01 - running Epoch:32, round:78,avg_loss is 0.00033438041337612495
2024-12-30 12:33:02 - running Epoch:33, round:78,avg_loss is 0.0003064427732215911
2024-12-30 12:33:03 - running Epoch:34, round:78,avg_loss is 0.0002845580797551105
2024-12-30 12:33:04 - running Epoch:35, round:78,avg_loss is 0.0002606875693080711
2024-12-30 12:33:05 - running Epoch:36, round:78,avg_loss is 0.00023908840228591255
2024-12-30 12:33:06 - running Epoch:37, round:78,avg_loss is 0.00022185407192122097
2024-12-30 12:33:07 - running Epoch:38, round:78,avg_loss is 0.00020605308872049296
2024-12-30 12:33:08 - running Epoch:39, round:78,avg_loss is 0.0001915649204593022
2024-12-30 12:33:09 - running Epoch:40, round:78,avg_loss is 0.0001788793933538048
2024-12-30 12:33:11 - running Epoch:41, round:78,avg_loss is 0.00016555854694437402
2024-12-30 12:33:12 - running Epoch:42, round:78,avg_loss is 0.00015521532411265623
2024-12-30 12:33:13 - running Epoch:43, round:78,avg_loss is 0.00014757467137245885
2024-12-30 12:33:14 - running Epoch:44, round:78,avg_loss is 0.00013977066012131804
2024-12-30 12:33:15 - running Epoch:45, round:78,avg_loss is 0.0001281220469582543
2024-12-30 12:33:16 - running Epoch:46, round:78,avg_loss is 0.0001225360469152868
2024-12-30 12:33:17 - running Epoch:47, round:78,avg_loss is 0.00011406641881220349
2024-12-30 12:33:18 - running Epoch:48, round:78,avg_loss is 0.00010681350788586372
2024-12-30 12:33:19 - running Epoch:49, round:78,avg_loss is 0.00010092100720739145
2024-12-30 12:33:20 - running Epoch:50, round:78,avg_loss is 9.792356382903666e-05
2024-12-30 12:33:21 - running Epoch:51, round:78,avg_loss is 9.094773311148799e-05
2024-12-30 12:33:22 - running Epoch:52, round:78,avg_loss is 8.60966794351941e-05
2024-12-30 12:33:24 - running Epoch:53, round:78,avg_loss is 8.070812802106036e-05
2024-12-30 12:33:25 - running Epoch:54, round:78,avg_loss is 7.713502432297785e-05
2024-12-30 12:33:26 - running Epoch:55, round:78,avg_loss is 7.335646862688745e-05
2024-12-30 12:33:27 - running Epoch:56, round:78,avg_loss is 6.85054744476647e-05
2024-12-30 12:33:28 - running Epoch:57, round:78,avg_loss is 6.454872997397339e-05
2024-12-30 12:33:29 - running Epoch:58, round:78,avg_loss is 6.1375581429309e-05
2024-12-30 12:33:30 - running Epoch:59, round:78,avg_loss is 5.8393247175594806e-05
2024-12-30 12:33:31 - running Epoch:60, round:78,avg_loss is 5.510715587500076e-05
2024-12-30 12:33:32 - running Epoch:61, round:78,avg_loss is 5.348618667741465e-05
2024-12-30 12:33:34 - running Epoch:62, round:78,avg_loss is 4.998617061827173e-05
2024-12-30 12:33:35 - running Epoch:63, round:78,avg_loss is 4.754315120373599e-05
2024-12-30 12:33:36 - After train, fl0Client1 gNB_test Accuracy  58.36 %
2024-12-30 12:33:36 - After train, fl0Client1 Test Accuracy  58.5 %
2024-12-30 12:33:37 - Before train, fl0Client7 gNB_test Accuracy  12.34 %
2024-12-30 12:33:38 - Before train, fl0Client7 client_test Accuracy  12.0 %
2024-12-30 12:33:39 - running Epoch:0, round:78,avg_loss is 2.016163152984426
2024-12-30 12:33:40 - running Epoch:1, round:78,avg_loss is 1.6808617175379885
2024-12-30 12:33:41 - running Epoch:2, round:78,avg_loss is 1.4615151369118993
2024-12-30 12:33:42 - running Epoch:3, round:78,avg_loss is 1.3495476396777961
2024-12-30 12:33:43 - running Epoch:4, round:78,avg_loss is 1.2214803786217412
2024-12-30 12:33:45 - running Epoch:5, round:78,avg_loss is 1.0992832628986504
2024-12-30 12:33:46 - running Epoch:6, round:78,avg_loss is 0.9886735783347601
2024-12-30 12:33:47 - running Epoch:7, round:78,avg_loss is 0.8693170992633964
2024-12-30 12:33:48 - running Epoch:8, round:78,avg_loss is 0.7400442493867271
2024-12-30 12:33:49 - running Epoch:9, round:78,avg_loss is 0.5967554087880291
2024-12-30 12:33:50 - running Epoch:10, round:78,avg_loss is 0.5023428311076346
2024-12-30 12:33:51 - running Epoch:11, round:78,avg_loss is 0.3798288716168343
2024-12-30 12:33:52 - running Epoch:12, round:78,avg_loss is 0.2478796405882775
2024-12-30 12:33:53 - running Epoch:13, round:78,avg_loss is 0.14561095583853842
2024-12-30 12:33:54 - running Epoch:14, round:78,avg_loss is 0.08245413855331231
2024-12-30 12:33:55 - running Epoch:15, round:78,avg_loss is 0.05934721361138398
2024-12-30 12:33:56 - running Epoch:16, round:78,avg_loss is 0.02920005531816543
2024-12-30 12:33:57 - running Epoch:17, round:78,avg_loss is 0.012452109531157567
2024-12-30 12:33:59 - running Epoch:18, round:78,avg_loss is 0.007864872185230444
2024-12-30 12:34:00 - running Epoch:19, round:78,avg_loss is 0.051889846752739596
2024-12-30 12:34:01 - running Epoch:20, round:78,avg_loss is 0.03610861517158868
2024-12-30 12:34:02 - running Epoch:21, round:78,avg_loss is 0.01901949916471126
2024-12-30 12:34:03 - running Epoch:22, round:78,avg_loss is 0.012922565069615463
2024-12-30 12:34:04 - running Epoch:23, round:78,avg_loss is 0.01650093520749832
2024-12-30 12:34:05 - running Epoch:24, round:78,avg_loss is 0.06948989892637805
2024-12-30 12:34:07 - running Epoch:25, round:78,avg_loss is 0.1200160612175359
2024-12-30 12:34:08 - running Epoch:26, round:78,avg_loss is 0.03349358543659313
2024-12-30 12:34:09 - running Epoch:27, round:78,avg_loss is 0.017126247890977355
2024-12-30 12:34:10 - running Epoch:28, round:78,avg_loss is 0.0067074388071093
2024-12-30 12:34:11 - running Epoch:29, round:78,avg_loss is 0.0019023043060781364
2024-12-30 12:34:12 - running Epoch:30, round:78,avg_loss is 0.0006789459026848921
2024-12-30 12:34:13 - running Epoch:31, round:78,avg_loss is 0.0005156287269171657
2024-12-30 12:34:14 - running Epoch:32, round:78,avg_loss is 0.00042243111892264405
2024-12-30 12:34:15 - running Epoch:33, round:78,avg_loss is 0.0003592358189052902
2024-12-30 12:34:16 - running Epoch:34, round:78,avg_loss is 0.0003134170092150121
2024-12-30 12:34:17 - running Epoch:35, round:78,avg_loss is 0.0002659416488221481
2024-12-30 12:34:18 - running Epoch:36, round:78,avg_loss is 0.00021758839054050844
2024-12-30 12:34:20 - running Epoch:37, round:78,avg_loss is 0.00018765946667452778
2024-12-30 12:34:21 - running Epoch:38, round:78,avg_loss is 0.00016827075491671132
2024-12-30 12:34:22 - running Epoch:39, round:78,avg_loss is 0.00014248478134815535
2024-12-30 12:34:23 - running Epoch:40, round:78,avg_loss is 0.00013025567584665186
2024-12-30 12:34:24 - running Epoch:41, round:78,avg_loss is 0.00011893133664152975
2024-12-30 12:34:25 - running Epoch:42, round:78,avg_loss is 0.0001087241165160903
2024-12-30 12:34:26 - running Epoch:43, round:78,avg_loss is 0.00010106460343459857
2024-12-30 12:34:27 - running Epoch:44, round:78,avg_loss is 9.204949333540258e-05
2024-12-30 12:34:28 - running Epoch:45, round:78,avg_loss is 8.60321522366898e-05
2024-12-30 12:34:29 - running Epoch:46, round:78,avg_loss is 7.93289158007357e-05
2024-12-30 12:34:30 - running Epoch:47, round:78,avg_loss is 7.52227108622017e-05
2024-12-30 12:34:32 - running Epoch:48, round:78,avg_loss is 7.154193920115764e-05
2024-12-30 12:34:33 - running Epoch:49, round:78,avg_loss is 6.678414575628866e-05
2024-12-30 12:34:34 - running Epoch:50, round:78,avg_loss is 6.276307532418655e-05
2024-12-30 12:34:35 - running Epoch:51, round:78,avg_loss is 5.8067613603662155e-05
