2024-12-29 22:11:50 - Model: SimpleCNN_1229_UE
2024-12-29 22:11:50 - Learning rate: 0.001
2024-12-29 22:11:50 - Number of epochs: 64
2024-12-29 22:11:50 - Train batch size: 64
2024-12-29 22:11:50 - Test batch size: 64
2024-12-29 22:11:50 - Federated learning epochs: 100
2024-12-29 22:11:50 - Number of clients: 10
2024-12-29 22:12:43 - Before train, fl0Client4 gNB_test Accuracy  10.36 %
2024-12-29 22:12:44 - Before train, fl0Client4 client_test Accuracy  10.9 %
2024-12-29 22:12:46 - running Epoch:0, round:78,avg_loss is 2.292935265770441
2024-12-29 22:12:48 - running Epoch:1, round:78,avg_loss is 2.235152080089231
2024-12-29 22:12:49 - running Epoch:2, round:78,avg_loss is 2.134590221356742
2024-12-29 22:12:51 - running Epoch:3, round:78,avg_loss is 2.0541092655326745
2024-12-29 22:12:53 - running Epoch:4, round:78,avg_loss is 2.010182720196398
2024-12-29 22:12:54 - running Epoch:5, round:78,avg_loss is 1.9168052552621575
2024-12-29 22:12:56 - running Epoch:6, round:78,avg_loss is 1.856041829797286
2024-12-29 22:12:57 - running Epoch:7, round:78,avg_loss is 1.8087935342064387
2024-12-29 22:12:59 - running Epoch:8, round:78,avg_loss is 1.7467928747587567
2024-12-29 22:13:01 - running Epoch:9, round:78,avg_loss is 1.6898419706127312
2024-12-29 22:13:02 - running Epoch:10, round:78,avg_loss is 1.6057336345503601
2024-12-29 22:13:04 - running Epoch:11, round:78,avg_loss is 1.4883421538751336
2024-12-29 22:13:06 - running Epoch:12, round:78,avg_loss is 1.4412714212755613
2024-12-29 22:13:07 - running Epoch:13, round:78,avg_loss is 1.4113309851175622
2024-12-29 22:13:09 - running Epoch:14, round:78,avg_loss is 1.2242891705488856
2024-12-29 22:13:11 - running Epoch:15, round:78,avg_loss is 1.0974936915349356
2024-12-29 22:13:13 - running Epoch:16, round:78,avg_loss is 0.9605070020579085
2024-12-29 22:13:14 - running Epoch:17, round:78,avg_loss is 0.8108005455777615
2024-12-29 22:13:16 - running Epoch:18, round:78,avg_loss is 0.6206777114656907
2024-12-29 22:13:18 - running Epoch:19, round:78,avg_loss is 0.47936323511449597
2024-12-29 22:13:20 - running Epoch:20, round:78,avg_loss is 0.47754319634618636
2024-12-29 22:13:21 - running Epoch:21, round:78,avg_loss is 0.28812668500821803
2024-12-29 22:13:23 - running Epoch:22, round:78,avg_loss is 0.19592208424700966
2024-12-29 22:13:25 - running Epoch:23, round:78,avg_loss is 0.12045209373854383
2024-12-29 22:13:26 - running Epoch:24, round:78,avg_loss is 0.06635815881286995
2024-12-29 22:13:28 - running Epoch:25, round:78,avg_loss is 0.05244128441414501
2024-12-29 22:13:29 - running Epoch:26, round:78,avg_loss is 0.04977878152475327
2024-12-29 22:13:31 - running Epoch:27, round:78,avg_loss is 0.026577051888113913
2024-12-29 22:13:33 - running Epoch:28, round:78,avg_loss is 0.055549366107870694
2024-12-29 22:13:34 - running Epoch:29, round:78,avg_loss is 0.22891905642102792
2024-12-29 22:13:36 - running Epoch:30, round:78,avg_loss is 0.12921756590846217
2024-12-29 22:13:38 - running Epoch:31, round:78,avg_loss is 0.054808388829608506
2024-12-29 22:13:40 - running Epoch:32, round:78,avg_loss is 0.02390449825391362
2024-12-29 22:13:41 - running Epoch:33, round:78,avg_loss is 0.005544447030612751
2024-12-29 22:13:43 - running Epoch:34, round:78,avg_loss is 0.0031158446799963713
2024-12-29 22:13:45 - running Epoch:35, round:78,avg_loss is 0.0021833492475384964
2024-12-29 22:13:46 - running Epoch:36, round:78,avg_loss is 0.0022190344236979755
2024-12-29 22:13:48 - running Epoch:37, round:78,avg_loss is 0.0026618185868675383
2024-12-29 22:13:50 - running Epoch:38, round:78,avg_loss is 0.001224789389002408
2024-12-29 22:13:51 - running Epoch:39, round:78,avg_loss is 0.001013652756412313
2024-12-29 22:13:53 - running Epoch:40, round:78,avg_loss is 0.0008818027878377611
2024-12-29 22:13:55 - running Epoch:41, round:78,avg_loss is 0.0007753907599710399
2024-12-29 22:13:56 - running Epoch:42, round:78,avg_loss is 0.0006984806257812895
2024-12-29 22:13:58 - running Epoch:43, round:78,avg_loss is 0.0006343351258554414
2024-12-29 22:14:00 - running Epoch:44, round:78,avg_loss is 0.0005734824329390651
